Contrato;ProcessoContrato;AssinaturaContrato;ObjetoContrato;FavorecidoContrato;CPF/CNPJContrato;SituaçãoContrato;ValorContrato
000274/2017;003766/2017;15/11/2017;"CONTRATACAO DE EMPRESA ESPECIALIZADA PARA HOSPEDAGEM E ORIENTACAO VIRTUAL DO SOFTWARE DE GERENCIAMENTO DE BIBLIOTECAS PARA CONTROLE DO ACERVO DA BIBLIOTECA MUNICIPAL ""MARIA GEAQUINTO""";Victor Barroso Oliveira 00253520754;27.121.382/0001-68;Vigente;190
000273/2017;005154/2017;13/11/2017;AQUISICAO ESTIMADA DE MEDICAMENTOS PACTUADOS PARA ATENDER AS NECESSIDADES DA FARMACIA BASICA DESTE MUNICIPIO, NO PERIODO DE 12 MESES.;Solumed Dist. de Med. e Produtos p Saude LTda Me;11.896.538/0001-42;TERMINO DE PRAZO;436
000272/2017;005151/2017;13/11/2017;AQUISICAO ESTIMADA DE MEDICAMENTOS NAO PACTUADOS PARA ATENDER AS NECESSIDADES DA FARMACIA BASICA DESTE MUNICIPIO, NO PERIODO DE 12 MESES;Dimaster Com. de Prod. Hosp. Ltda;02.520.829/0001-40;TERMINO DE PRAZO;553
000271/2017;005150/2017;13/11/2017;AQUISICAO ESTIMADA DE MEDICAMENTOS NAO PACTUADOS PARA ATENDER AS NECESSIDADES DA FARMACIA BASICA DESTE MUNICIPIO, NO PERIODO DE 12 MESES;Distrimix Distribuidora de Medicamentos Ltda;01.417.694/0001-20;TERMINO DE PRAZO;270
000270/2017;005046/2017;13/11/2017;AQUISICAO ESTIMADA DE APARELHO DE AR CONDICIONADO PARA ATENDER NECESSIDADES DAS SECRETARIAS MUNICIPAIS E SEUS RESPECTIVOS SETORES, NO PERIODO DE 12 MESES.;Top One Thousand Comercio EIRELLI - ME;24.207.900/0001-72;TERMINO DE PRAZO;2711
000269/2017;005045/2017;13/11/2017;AQUISICAO ESTIMADA DE APARELHO DE AR CONDICIONADO PARA ATENDER NECESSIDADES DAS SECRETARIAS MUNICIPAIS E SEUS RESPECTIVOS SETORES, NO PERIODO DE 12 MESES.;Eduardo Fadini Silvestre - Me;14.771.730/0001-09;TERMINO DE PRAZO;5460
000268/2017;005044/2017;13/11/2017;AQUISICAO ESTIMADA DE APARELHO DE AR CONDICIONADO PARA ATENDER NECESSIDADES DAS SECRETARIAS MUNICIPAIS E SEUS RESPECTIVOS SETORES, NO PERIODO DE 12 MESES.;C L Costa Comercio e Servicos LTDA ME;17.884.676/0001-98;TERMINO DE PRAZO;21240
000267/2017;005209/2017;13/11/2017;AQUISICAO ESTIMADA DE APARELHO DE AR CONDICIONADO PARA ATENDER NECESSIDADES DAS SECRETARIAS MUNICIPAIS E SEUS RESPECTIVOS SETORES, NO PERIODO DE 12 MESES.;Eduardo Fadini Silvestre - Me;14.771.730/0001-09;TERMINO DE PRAZO;1820
000266/2017;005208/2017;13/11/2017;AQUISICAO ESTIMADA DE APARELHO DE AR CONDICIONADO PARA ATENDER NECESSIDADES DAS SECRETARIAS MUNICIPAIS E SEUS RESPECTIVOS SETORES, NO PERIODO DE 12 MESES.;IC Serafini Refrigeracao EPP;14.516.591/0001-69;TERMINO DE PRAZO;3974
000265/2017;005207/2017;09/11/2017;AQUISICAO ESTIMADA DE APARELHO DE AR CONDICIONADO PARA ATENDER NECESSIDADES DAS SECRETARIAS MUNICIPAIS E SEUS RESPECTIVOS SETORES, NO PERIODO DE 12 MESES.;Top One Thousand Comercio EIRELLI - ME;24.207.900/0001-72;TERMINO DE PRAZO;2711
000264/2017;004978/2017;09/11/2017;AQUISICAO ESTIMADA DE APARELHO DE AR CONDICIONADO PARA ATENDER NECESSIDADES DAS SECRETARIAS MUNICIPAIS E SEUS RESPECTIVOS SETORES, NO PERIODO DE 12 MESES.;C L Costa Comercio e Servicos LTDA ME;17.884.676/0001-98;TERMINO DE PRAZO;4248
000263/2017;005053/2017;09/11/2017;PRESTACAO DE SERVICO ESTIMADO DE MANUTENCAO PREVENTIVA E CORRETIVA E INSTALACAO DE ARES CONDICIONADOS DAS SECRETARIAS MUNICIPAIS, PELO PERIODO DE 12 MESES.;Maria da penha carari da silva 06857090785;14.120.020/0001-00;TERMINO DE PRAZO;80
000262/2017;005095/2017;06/11/2017;CONTRATACAO DE EMPRESA ESPECIALIZADA NA PRESTACAO DE SERVICOS VOLTADOS AO PUBLICO INFANTIL NOS EVENTOS PROMOVIDOS PELAS SECRETARIAS MUNICIPAIS, NO PERIODO DE 12 MESES.;Braseiro Restaurantes, Comercio e Servicos EIRELI;09.086.681/0001-27;TERMINO DE PRAZO;209,97
000261/2017;005096/2017;06/11/2017;CONTRATACAO DE EMPRESA ESPECIALIZADA NA PRESTACAO DE SERVICOS VOLTADOS AO PUBLICO INFANTIL NOS EVENTOS PROMOVIDOS PELAS SECRETARIAS MUNICIPAIS, NO PERIODO DE 12 MESES.;Maria Serrat Leite Figueiredo 02256448789;17.000.827/0001-06;TERMINO DE PRAZO;74,85
000260/2017;005097/2017;06/11/2017;CONTRATACAO DE EMPRESA PARA LOCACAO DE BRINQUEDOS INFANTIS PARA OS EVENTOS PROMOVIDOS PELAS SECRETARIAS MUNICIPAIS VOLTADOS AO PUBLICO INFANTIL, POR UM PERIODO DE 12 MESES.;Edilaine de Sales Rocha - ME;12.716.576/0001-39;TERMINO DE PRAZO;794,1
000259/2017;005080/2017;06/11/2017;CONTRATACAO DE EMPRESA FORNECEDORA DE PECAS E ACESSORIOS ORIGINAIS OU PARALELAS DE 1º LINHA, PARA OS VEICULOS PERTENCENTES A FROTA OFICIAL DESTA PREFEITURA, NO PERIODO DE 12 MESES.;J.de Paula Dias;08.979.039/0001-04;TERMINO DE PRAZO;5000
000258/2017;005081/2017;06/11/2017;CONTRATACAO DE EMPRESA FORNECEDORA DE PECAS E ACESSORIOS ORIGINAIS OU PARALELAS DE 1° LINHA, PARA OS VEICULOS PERTENCENTES A FROTA OFICIAL DESTA SECRETARIA, PARA O PERIODO DE 8 MESES, CONSIDERANDO A NECESSIDADE DE SE MANTER A FROTA OFICIAL EM PERFEITAS CO;Tracvel Pecas Para Tratores LTDA - ME;05.333.100/0001-53;TERMINO DE PRAZO;2000
000257/2017;004967/2017;30/10/2017;CONTRATACAO DE EMPRESA ESPECIALIZADA PARA PRESTACAO DE SEGURO NOS VEICULOS DA FROTA MUNICIPAL.;Gente Seguradora S/A;90.180.605/0001-02;TERMINO DE PRAZO;2180
000256/2017;003529/2017;30/10/2017;"CONTRATACAO DE EMPRESA ESPECIALIZADA PARA PRESTACAO DE SERVICOS DE ENGENHARIA CIVIL PARA DESENVOLVIMENTO DAS SEGUINTES ATIVIDADES: ELABORACAO DE PROJETOS ARQUITETONICO, ESTRUTURAL, HIDROSSANITARIO, ELETRICO, TELEFONICO, LOGICA (DADOS), ETC; ELABORACAO DE";Construminas Engenharia e Assessoria Ltda Me;21.676.811/0001-87;TERMINO DE PRAZO;15866,68
000255/2017;004998/2017;29/10/2017;CONTRATACAO DE EMPRESA PARA FORNECIMENTO ESTIMADO DE COMBUSTIVEIS DIVERSOS E ADITIVO ARLA 32, PARA ABASTECIMENTO DOS VEICULOS PERTENCENTES A ESTA MUNICIPALIDADE.;Posto Sete Irmaos Ltda ME;03.619.662/0001-32;TERMINO DE PRAZO;6384
000254/2017;000186/2017;29/10/2017;Aquisicao de uma maquina reprografiadora (scanner) para melhorias na Infra-estrutura da Procuradoria Geral do Municipio, considerando as novas atividades implantadas para atendimento as solicitacoes legais.;MARCEL MOURA LOUZADA LOPES- MEI;24.475.805/0001-50;TERMINO DE PRAZO;3200
000253/2017;004610/2017;25/10/2017;PRESTACAO DE SERVICOS DE MANUTENCAO COM FORNECIMENTO DE PECAS DA MAQUINA COPIADORA GESTETNER, MODELO DSM715, PARA ATENDER AS NECESSIDADES DA SECRETARIA MUNICIPAL DE SAUDE.;Centermaq Comercio e Representacoes Ltda.;35.996.800/0001-99;TERMINO DE PRAZO;2391
000252/2017;004765/2017;25/10/2017;CONTRATACAO DE EMPRESA ESPECIALIZADA PARA PRESTACAO DE SEGURO NOS VEICULOS DA FROTA MUNICIPAL.;Gente Seguradora S/A;90.180.605/0001-02;Vigente;2000
000251/2017;004682/2017;24/10/2017;CONTRATACAO DE EMPRESA ESPECIALIZADA PARA PRESTACAO DE SERVICO DE MANUTENCAO PREVENTIVA E CORRETIVA DE PARTE ELETRICA EM VEICULOS PERTENCENTES A ESTA MUNICIPALIDADE PELO PERIODO DE 12 MESES.;Johny L. Goncalves - ME;07.714.364/0001-82;TERMINO DE PRAZO;3151
000250/2017;004848/2017;16/10/2017;CONTRATACAO DE EMPRESA ESPECIALIZADA PARA PRESTACAO DE SERVICO DE MANUTENCAO PREVENTIVA E CORRETIVA DE PARTE ELETRICA EM VEICULOS PERTENCENTES A ESTA MUNICIPALIDADE PELO PERIODO DE 12 MESES.;Johny L. Goncalves - ME;07.714.364/0001-82;TERMINO DE PRAZO;2403
000249/2017;004802/2017;11/10/2017;CONTRATACAO DE EMPRESA PARA LOCACAO DE BRINQUEDOS INFANTIS PARA OS EVENTOS PROMOVIDOS PELAS SECRETARIAS MUNICIPAIS VOLTADOS AO PUBLICO INFANTIL, POR UM PERIODO DE 12 MESES..;Edilaine de Sales Rocha - ME;12.716.576/0001-39;TERMINO DE PRAZO;4723,5
000248/2017;004782/2017;11/10/2017;CONTRATACAO DE EMPRESA PARA LOCACAO DE VEICULO TIPO CARRETA ANIMADA PARA OS EVENTOS PROMOVIDOS PELAS SECRETARIAS MUNICIPAIS VOLTADOS AO PUBLICO INFANTIL, POR UM PERIODO DE 12 MESES, conforme especificacoes contidas no Edital de Pregao Presencial nº 000062;Bruno Eventos e Buffet EIRELLI - ME;24.862.744/0001-83;TERMINO DE PRAZO;8600
000247/2017;004765/2017;10/10/2017;CONTRATACAO DE EMPRESA ESPECIALIZADA PARA PRESTACAO DE SEGURO NOS VEICULOS DA FROTA MUNICIPAL.;Gente Seguradora S/A;90.180.605/0001-02;Vigente;9125
000246/2017;004744/2017;10/10/2017;CONTRATACAO DE EMPRESA ESPECIALIZADA PARA PRESTACAO DE SEGURO NOS VEICULOS DA FROTA MUNICIPAL, conforme especificacoes contidas no Edital de Pregao Presencial nº 000061/2017.;Gente Seguradora S/A;90.180.605/0001-02;TERMINO DE PRAZO;1980
000245/2017;004786/2017;10/10/2017;CONTRATACAO DE EMPRESA ESPECIALIZADA NA PRESTACAO DE SERVICOS VOLTADOS AO PUBLICO INFANTIL NOS EVENTOS PROMOVIDOS PELAS SECRETARIAS MUNICIPAIS, NO PERIODO DE 12 MESES.;Braseiro Restaurantes, Comercio e Servicos EIRELI;09.086.681/0001-27;TERMINO DE PRAZO;5294,94
000244/2017;004748/2017;10/10/2017;CONTRATACAO DE EMPRESA ESPECIALIZADA NA PRESTACAO DE SERVICOS VOLTADOS AO PUBLICO INFANTIL NOS EVENTOS PROMOVIDOS PELAS SECRETARIAS MUNICIPAIS, NO PERIODO DE 12 MESES, conforme especificacoes contidas no Edital de Pregao Presencial nº 000063/2017;Maria Serrat Leite Figueiredo 02256448789;17.000.827/0001-06;TERMINO DE PRAZO;2449,45
000243/2017;003506/2017;10/10/2017;Credenciamento de pessoas juridicas para Prestacao de Servico de Consulta Medica e Pequenas Cirurgias para atender aos usuarios do Sistema Unico de Saude, conforme especificacoes no Credenciamento 004/2017 FMS e seus Anexos;CLINICA DE ULTRASSONOGRAFIA DR.PEDRO NAGIBE LTDA M;02.510.585/0002-04;TERMINO DE PRAZO;37500
000242/2017;003506/2017;10/10/2017;Credenciamento de pessoas juridicas para Prestacao de Servico de Consulta Medica e Pequenas Cirurgias para atender aos usuarios do Sistema Unico de Saude, conforme especificacoes no Credenciamento 004/2017 FMS e seus Anexos;Patrick Barbosa Martins ME;23.891.037/0001-52;TERMINO DE PRAZO;37500
000241/2017;003268/2017;04/10/2017;Aquisicao via Dispensa de Licitacao de balanca comercial digital industrial com recurso do Produtor Rural.  Tal solicitacoe se faz considerando programa de Compra Direta de Alimentos - CDA da Secretaeria de Acao Social, que ira adquirir generos alimentici;I P Betcher EIRELI EPP;18.549.893/0001-94;TERMINO DE PRAZO;1480
000240/2017;004310/2017;03/10/2017;PRESTACAO DE SERVICO ESTIMADO DE MANUTENCAO PREVENTIVA E CORRETIVA E INSTALACAO DE ARES CONDICIONADOS DAS SECRETARIAS MUNICIPAIS, PELO PERIODO DE 12 MESES.;Maria da penha carari da silva 06857090785;14.120.020/0001-00;TERMINO DE PRAZO;280
000239/2017;004349/2017;22/09/2017;CONTRATACAO DE EMPRESA FORNECEDORA DE PECAS E ACESSORIOS ORIGINAIS OU PARALELAS DE 1° LINHA, PARA OS VEICULOS PERTENCENTES A FROTA OFICIAL DESTA SECRETARIA, PARA O PERIODO DE 8 MESES, CONSIDERANDO A NECESSIDADE DE SE MANTER A FROTA OFICIAL EM PERFEITAS CO;Tracvel Pecas Para Tratores LTDA - ME;05.333.100/0001-53;TERMINO DE PRAZO;37000
000238/2017;004255/2017;22/09/2017;CONTRATACAO DE EMPRESA ESPECIALIZADA PARA PRESTACAO DE SERVICO DE MANUTENCAO PREVENTIVA E CORRETIVA DE PARTE ELETRICA EM VEICULOS PERTENCENTES A ESTA MUNICIPALIDADE PELO PERIODO DE 12 MESES.;Johny L. Goncalves - ME;07.714.364/0001-82;TERMINO DE PRAZO;2146
000237/2017;004343/2017;22/09/2017;CONTRATACAO DE EMPRESA PARA FORNECIMENTO ESTIMADO DE COMBUSTIVEIS DIVERSOS E ADITIVO ARLA 32, PARA ABASTECIMENTO DOS VEICULOS PERTENCENTES A ESTA MUNICIPALIDADE.;Posto Sete Irmaos Ltda ME;03.619.662/0001-32;TERMINO DE PRAZO;49998,63
000236/2017;004372/2017;20/09/2017;AQUISICAO ESTIMADA DE MEDICAMENTOS PACTUADOS PARA ATENDER AS NECESSIDADES DA FARMACIA BASICA DESTE MUNICIPIO, NO PERIODO DE 12 MESES.;TS FARMA DIST. EIRELI - EPP;21.189.554/0001-59;TERMINO DE PRAZO;692,2
000235/2017;004377/2017;20/09/2017;AQUISICAO ESTIMADA DE MEDICAMENTOS PACTUADOS PARA ATENDER AS NECESSIDADES DA FARMACIA BASICA DESTE MUNICIPIO, NO PERIODO DE 12 MESES.;Hospidrogas Comercio de Produtos Hospitalares Ltda;35.997.345/0001-46;TERMINO DE PRAZO;1440
000234/2017;004376/2017;20/09/2017;AQUISICAO ESTIMADA DE MEDICAMENTOS PACTUADOS PARA ATENDER AS NECESSIDADES DA FARMACIA BASICA DESTE MUNICIPIO, NO PERIODO DE 12 MESES.;Solumed Dist. de Med. e Produtos p Saude LTda Me;11.896.538/0001-42;TERMINO DE PRAZO;1462,5
000233/2017;004375/2017;20/09/2017;AQUISICAO ESTIMADA DE MEDICAMENTOS PACTUADOS PARA ATENDER AS NECESSIDADES DA FARMACIA BASICA DESTE MUNICIPIO, NO PERIODO DE 12 MESES.;Costa Camargo Com. de Produtos Hospitalares Ltda;36.325.157/0001-34;TERMINO DE PRAZO;4290
000232/2017;004374/2017;20/09/2017;AQUISICAO ESTIMADA DE MEDICAMENTOS PACTUADOS PARA ATENDER AS NECESSIDADES DA FARMACIA BASICA DESTE MUNICIPIO, NO PERIODO DE 12 MESES.;Dimaster Com. de Prod. Hosp. Ltda;02.520.829/0001-40;TERMINO DE PRAZO;5851
000231/2017;004137/2017;15/09/2017;CONTRATACAO DE EMPRESA ESPECIALIZADA PARA PRESTACAO EVENTUAL DE SERVICOS DE TRANSPORTE DE PESSOAS (ESTUDANTES/PACIENTES/MUNICIPES) ASSISTIDOS POR PROGRAMAS E PROJETOS ASSISTENCIAIS, RESIDENTES NESTE MUNICIPIO, NO PERIODO DE 12 MESE.;Locadora de Veiculos Mello's Ltda;09.196.264/0001-37;TERMINO DE PRAZO;57600
000230/2017;004130/2017;14/09/2017;AQUISICAO DE VEICULOS 0KM.;Manupa Comercio de Equipamentos e Ferramentas Ltda;03.093.776/0001-91;TERMINO DE PRAZO;51000
000229/2017;004220/2017;12/09/2017;CONTRATACAO DE EMPRESA ESPECIALIZADA PARA PRESTACAO DE SERVICO DE MANUTENCAO PREVENTIVA E CORRETIVA DE PARTE ELETRICA EM VEICULOS PERTENCENTES A ESTA MUNICIPALIDADE PELO PERIODO DE 12 MESES.;Johny L. Goncalves - ME;07.714.364/0001-82;TERMINO DE PRAZO;5500
000228/2017;004104/2017;11/09/2017;CONTRATACAO DE EMPRESA PARA FORNECIMENTO DE LINKS DE INTERNET PARA ATENDER AS NECESSIDADES DE TODAS AS SECRETARIAS MUNICIPAIS, NO PERIODO DE 12 MESES.;MEGABYTE SERVICOS DE TELECOMUNICACAO LTDA ME;09.366.853/0001-16;Vigente;598,8
000227/2017;004166/2017;06/09/2017;Contratacao de empresa para locacao de telao para exposicao de publicidades referentes ao Governo Federal durante a XXIV  Expoagro a ser realizada de 07 a 10 de setembro no parque de exposicoes Lourival Lougon Moulin.   FISCAL DE CONTRATO:  Fiscal: Paulo;THATIANY FIRMINO DE SOUZA 15766078790;28.567.143/0001-07;TERMINO DE PRAZO;2000
000226/2017;003943/2017;05/09/2017;Aquisicao de fornecimento estimado de lanches e refrigerantes para atender os Policiais Militares que estarao a servico durante os festejos da XXIV Expoagro de Jeronimo Monteiro, que se realizara nos dias 07, 08, 09 e 10 de setembro de 2017. Os produtos d;Renata Medeiros Cabral;19.368.710/0001-05;TERMINO DE PRAZO;1900
000225/2017;003922/2017;05/09/2017;"CONTRATACAO DE SHOW REGIONAL COM A CANTORA ""LAYSA ALEIXO"", A SER REALIZADO NO DIA 08 DE SETEMBRO DO CORRENTE ANO, COMO PARTE DA PROGRAMACAO OFICIAL DA XXIV EXPOAGRO DE JERONIMO MONTEIRO/ES QUE ACONTECERA DE 07 A 10 DE SETEMBRO, NO PARQUE DE EXPOSICOES LOU";Duvalle Producoes Artisticas Ltda - ME;36.377.596/0001-90;TERMINO DE PRAZO;5500
000224/2017;003923/2017;05/09/2017;"CONTRATACAO DE SHOW REGIONAL COM O CANTOR ""PAULO FONTOURA"", A SER REALIZADO NO DIA 10 DE SETEMBRO DO CORRENTE ANO, COMO PARTE DA PROGRAMACAO OFICIAL DA XXIV EXPOAGRO DE JERONIMO MONTEIRO/ES QUE ACONTECERA DE 07 A 10 DE SETEMBRO, NO PARQUE DE EXPOSICOES LO";Duvalle Producoes Artisticas Ltda - ME;36.377.596/0001-90;TERMINO DE PRAZO;5000
000223/2017;003958/2017;05/09/2017;CONTRATACAO DE SHOW REGIONAL COM A BANDA  COMITIVA VIP , A SER REALIZADO NO DIA 07 DE SETEMBRO DO CORRENTE ANO, COMO PARTE DA PROGRAMACAO OFICIAL DA XXIV EXPOAGRO DE JERONIMO MONTEIRO/ES QUE ACONTECERA DE 07 A 10 DE SETEMBRO, NO PARQUE DE EXPOSICOES LOURI;Diametro Sonorizacao Ltda;18.085.614/0001-89;TERMINO DE PRAZO;4500
000222/2017;003782/2017;04/09/2017;"CONTRATACAO DE SHOW NACIONAL COM A CANTORA ""PAULA FERNANDES"" PARA SER REALIZADO NO DIA 08 DE SETEMBRO DE 2017 COMO PARTE DA PROGRAMACAO OFICIAL DA XXIV ESPOAGRO DE JERONIMO MONTEIRO - ES , QUE ACONTECERA DE 07 A 10 DE SETEMBRO NO PARQUE DE EXPOSICOES LOUR";Jeito do Mato Producoes Artisticas Ltda;11.171.395/0001-01;TERMINO DE PRAZO;140000
000221/2017;003984/2017;04/09/2017;CONTRATACAO DE EMPRESA ESPECIALIZADA PARA LOCACAO DE PALCO, SOM E ILUMINACAO, VISANDO ATENDER AS FESTAS E EVENTOS PROMOVIDOS POR ESTA MUNICIPALIDADE DURANTE O PERIODO DE 12 MESES.;Mais Sonorizacao EIRELI EPP;10.203.987/0001-03;TERMINO DE PRAZO;15520
000220/2017;003983/2017;04/09/2017;CONTRATACAO DE EMPRESA ESPECIALIZADA PARA LOCACAO DE PALCO, SOM E ILUMINACAO, VISANDO ATENDER AS FESTAS E EVENTOS PROMOVIDOS POR ESTA MUNICIPALIDADE DURANTE O PERIODO DE 12 MESES.;Vix Producoes Eireli ME;13.160.524/0001-91;TERMINO DE PRAZO;38250
000219/2017;003528/2017;04/09/2017;CONTRATACAO DE EMPRESA PARA PRESTACAO DE SERVICO DE SEGURANCA, NA 24ª EXPOAGRO DO MUNICIPIO, A SER REALIZADA DOS DIAS 07 A 10 DE SETEMBRO DO CORRENTE ANO NO PARQUE DE EXPOSICOES LOURIVAL LUGON MOULIN.;TARTALIA SEGURANCA E VIGILANCIA EIRELI EPP;11.898.403/0002-05;TERMINO DE PRAZO;32340
000218/2017;004107/2017;04/09/2017;CONTRATACAO DE EMPRESA ESPECIALIZADA PARA LOCACAO DE GERADORES E TRANSFORMADORES PARA SUPRIR AS NECESSIDADES DOS EVENTOS REALIZADOS PELO MUNICIPIO;Salespe Material Eletrico Ltda - EPP;07.779.506/0001-90;TERMINO DE PRAZO;17118
000217/2017;003780/2017;01/09/2017;"CONTRATACAO DE SHOW NACIONAL DA DUPLA ""CARLOS & JADER"", A SER REALIZADO NO DIA 07 DE SETEMBRO DO CORRENTE ANO, COMO PARTE DA PROGRAMACAO OFICIAL DA XXIV EXPOAGRO DE JERONIMO MONTEIRO/ES QUE ACONTECERA DE 07 A 10 DE SETEMBRO, NO PARQUE DE EXPOSICOES LOURIV";Live Talentos Agen., Producoes e Publicidade Ltda;19.019.335/0001-80;TERMINO DE PRAZO;50000
000216/2017;003781/2017;01/09/2017;CONTRATACAO DE SHOW NACIONAL COM O GRUPO  SAMBO , A SER REALIZADO NO DIA 09 DE SETEMBRO DO CORRENTE ANO, COMO PARTE DA PROGRAMACAO OFICIAL DA XXIV EXPOAGRO DE JERONIMO MONTEIRO/ES QUE ACONTECERA DE 07 A 10 DE SETEMBRO, NO PARQUE DE EXPOSICOES LOURIVAL LOU;Live Talentos Agen., Producoes e Publicidade Ltda;19.019.335/0001-80;TERMINO DE PRAZO;60000
000215/2017;003920/2017;01/09/2017;CONTRATACAO DE SHOW REGIONAL DA BANDA  PROJETO FEIJOADA   ACUSTICO  A SER REALIZADO NO DIA 09 DE SETEMBRO DO CORRENTE ANO, COMO PARTE DA PROGRAMACAO OFICIAL DA XXIV EXPOAGRO DE JERONIMO MONTEIRO/ES QUE ACONTECERA DE 07 A 10 DE SETEMBRO, NO PARQUE DE EXPOS;Flavio Gois Marao 08797667781;23.650.439/0001-65;TERMINO DE PRAZO;6000
000214/2017;003866/2017;01/09/2017;Locacao de separador de publico (grades) para serem utilizados durante as festividades da XXIV Expoagro de Jeronimo Monteiro - ES. A referida contratacao se faz necessaria par melhor organizacao do espaco do evento, tendo em vista que sao esperadas milhar;Piacu Empreendimentos Artisticos Ltda;08.064.854/0001-43;TERMINO DE PRAZO;4000
000213/2017;004066/2017;31/08/2017;CONTRATACAO DE EMPRESA ESPECIALIZADA PARA IMPLANTACAO, LICENCIAMENTO E CUSTOMIZACAO DO SITE E DO PORTAL DA TRANSPARENCIA DESTE MUNICIPIO, PELO PERIODO DE 12 MESES.;Servidor Servicos de Informatica ltda Me;07.914.579/0001-47;TERMINO DE PRAZO;2044,76
000212/2017;003938/2017;30/08/2017;CONTRATACAO DE EMPRESA PARA PRESTACAO DE SERVICOS DE MECANICA DIVERSOS, PARA OS VEICULOS PERTENCENTES A FROTA OFICIAL DESTA SECRETARIA, PARA O PERIODO DE 12 MESES.;Tecnic Hidraulic Ltda Me;15.150.841/0001-52;TERMINO DE PRAZO;17745
000211/2017;003758/2017;28/08/2017;CONTRATACAO DE EMPRESA PARA FORNECIMENTO ESTIMADO DE COMBUSTIVEIS DIVERSOS E ADITIVO ARLA 32, PARA ABASTECIMENTO DOS VEICULOS PERTENCENTES A ESTA MUNICIPALIDADE.;Posto Sete Irmaos Ltda ME;03.619.662/0001-32;TERMINO DE PRAZO;110008
000210/2017;003049/2017;28/08/2017;AQUISICAO DE LIVROS DIDATICOS PARA 5º E 9º ANOS DO ENSINO FUNDAMENTAL DAS ESCOLAS MUNICIPAIS DE JERONIMO MONTEIRO, DESTINADOS A AVALIACOES EXTERNAS NO CONTEXTO ESCOLAR.;HSF Comercial Ltda;06.222.005/0001-45;TERMINO DE PRAZO;61127,5
000209/2017;003838/2017;28/08/2017;AQUISICAO ESTIMADA DE MICROCOMPUTADORES E IMPRESSORAS MULTIFUNCIONAIS LASER PARA ATENDER AS NECESSIDADES DAS SECRETARIAS MUNICIPAIS, NO PERIODO DE 12 MESES.;Made Informatica LTDA;07.900.357/0001-75;TERMINO DE PRAZO;4119
000208/2017;003626/2017;24/08/2017;Locacao de tendas para serem utilizadas na XXIV Expoagro de Jeronimo Monteiro - ES, a ser realizada no periodo de 07 a 10 de setembro no parque de exposicoes Lourival Lugon Moulin.;Academia Nutri Sport Ltda;17.759.298/0001-10;TERMINO DE PRAZO;3540
000207/2017;003871/2017;24/08/2017;AQUISICAO ESTIMADA DE MICROCOMPUTADORES E IMPRESSORAS MULTIFUNCIONAIS LASER PARA ATENDER AS NECESSIDADES DAS SECRETARIAS MUNICIPAIS, NO PERIODO DE 12 MESES.;Made Informatica LTDA;07.900.357/0001-75;TERMINO DE PRAZO;12357
000206/2017;003870/2017;24/08/2017;AQUISICAO ESTIMADA DE MICROCOMPUTADORES E IMPRESSORAS MULTIFUNCIONAIS LASER PARA ATENDER AS NECESSIDADES DAS SECRETARIAS MUNICIPAIS, NO PERIODO DE 12 MESES.;Cibox Comercio e Servicos LTDA EPP;02.906.841/0001-98;TERMINO DE PRAZO;3499
000205/2017;003739/2017;23/08/2017;CONTRATACAO DE EMPRESA PARA FORNECIMENTO ESTIMADO DE COMBUSTIVEIS DIVERSOS E ADITIVO ARLA 32, PARA ABASTECIMENTO DOS VEICULOS PERTENCENTES A ESTA MUNICIPALIDADE.;Hospidrogas Comercio de Produtos Hospitalares Ltda;35.997.345/0001-46;TERMINO DE PRAZO;31492
000204/2017;003503/2017;22/08/2017;CONTRATACAO DE EMPRESA PARA FORNECIMENTO DE LINKS DE INTERNET PARA ATENDER AS NECESSIDADES DE TODAS AS SECRETARIAS MUNICIPAIS, NO PERIODO DE 12 MESES.;Pablo B. Zucoloto Eireli - ME;08.736.819/0001-23;Vigente;3588
000203/2017;003663/2017;22/08/2017;CONTRATACAO DE EMPRESA PARA FORNECIMENTO ESTIMADO DE COMBUSTIVEIS DIVERSOS E ADITIVO ARLA 32, PARA ABASTECIMENTO DOS VEICULOS PERTENCENTES A ESTA MUNICIPALIDADE.;Posto Sete Irmaos Ltda ME;03.619.662/0001-32;TERMINO DE PRAZO;55783,5
000202/2017;000047/2017;14/08/2017;AQUISICAO DE SMARTPHONE PARA COORDENADORIA MUNICIPAL DE PROTECAO E DEFESA CIVIL DESTE MUNICIPIO, PARA IMPLANTACAO DE ALERTA E EVENTOS NATURAIS, JUNTO A POPULACAO ASSISTIDA.;Eduardo Fadini Silvestre - Me;14.771.730/0001-09;TERMINO DE PRAZO;870
000201/2017;003674/2017;11/08/2017;CONTRATACAO DE EMPRESA PARA PRESTACAO DE SERVICO ESTIMADO DE MANUTENCAO PREVENTIVA E CORRETIVA E INSTALACAO DE ARES CONDICIONADOS DAS SECRETARIAS MUNICIPAIS, PELO PERIODO DE 12 MESES.;Maria da penha carari da silva 06857090785;14.120.020/0001-00;TERMINO DE PRAZO;1129,5
000200/2017;003509/2017;11/08/2017;CONTRATACAO DE EMPRESA FORNECEDORA DE PECAS E ACESSORIOS ORIGINAIS OU PARALELAS DE 1º LINHA, PARA OS VEICULOS PERTENCENTES A FROTA OFICIAL DO FUNDO MUNICIPAL DE SAUDE, NO PERIODO DE 12 MESES.;J.de Paula Dias;08.979.039/0001-04;TERMINO DE PRAZO;15000
